"category","phrase"
"Passive_Disregard","ทำอะไรไม่ได้"
"Passive_Disregard","ไม่สนใจ"
"Ambiguous","ตามสถานการณ์และบุคคลและ context"
"Passive_Disregard","ปล่อยผ่าน"
"Respectful_Intervention","ห้ามเพื่อนที่สนิทก่อน"
"Respectful_Intervention","ให้คนอื่นช่วยกันบอกต่อ"
"Respectful_Intervention","ห้ามเพื่อนๆว่าอย่าทำแบบนั้นเลยใจเค้าใจเราถ้าเราโดนมั่งเราก็ไม่ชอบ"
"Respectful_Intervention","ห้ามเพื่อนและคอยเฝ้าดู"
"Respectful_Intervention","เตือนเพื่อนๆให้อย่าทำเพราะแผลใจรักษายากกว่าแผลตามตัว"
"Active_Disrespect","หัวเราะและล้อเลียนตาม"
"Respectful_Intervention","บอกให้เพื่อนเลิกล้อ"
"Empathy","รู้สึกสงสารคนแบบนั้น"
"Respectful_Intervention","จะบอกว่าหน้าแต่ละคนไม่เหมือนกันเราไม่ควรไปว่าหน้าคนอื่น"
"Respectful_Intervention","บอกเพื่อนให้หยุดได้แล้ว"
"Compassionate_Expression","ห้ามปรามและก็คุยกันดีๆและค่อยๆปรับความเข้าใจกัน"
"Passive_Disregard","ไม่ยุ่ง"
"Respectful_Intervention","บอกเพื่อนคนที่แกล้งว่าให้เลิกล้อ"
"Ambiguous","ถ้าสนิทก็ล้อครับ แต่ถ้าไม่ก็ไม่"
"Passive_Disregard","ไม่ยุ่ง"
"Ambiguous","เข้าใจและไม่เหยียดหยาม"
"Respectful_Intervention","เตือน"
"Active_Disrespect","หัวเราะ"
"Passive_Disregard","เมิน"
"Ambiguous","ไม่รู้ครับ"
"Passive_Disregard","ดูเฉยๆไม่ทำอะไร"
"Respectful_Intervention","บอกให้หยุด"
"Respectful_Intervention","ห้ามเพื่อนที่ล้อ"
"Respectful_Intervention","ไปร่วมวง เข้าไปห้าม ว่าอย่าดูคนเดียวแบ่งบ้าง แล้วบอกว่าไม่ดีนะ"
"Compassionate_Expression","บอกว่าไม่ดีนะ ทำไมไม่ชวน"
"Respectful_Intervention","บอกเพื่อนคนอื่นให้เลิกล้อ มันจะได้ไม่เป็นปัญหา"
"Non-participation_in_Mockery","ไม่เข้าไปล้อเลียน"
"Active_Disrespect","หัวเราะครับ"
"Passive_Disregard","ไม่รู้ไม่ใช่เรื่องของผม"
"Passive_Disregard","อยู่เฉยให้เพื่อนจัดการกันเอง"
"Respectful_Intervention","ไปห้ามเพื่อน"
